,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,distinct_called_numbers,age_group,tariff_plan,status,customer_value
1872,0,36.0,0,650,47,16.0,3,1,2,95.88
1635,0,35.0,0,3528,82,30.0,3,1,1,252.4
2367,0,46.0,0,1275,30,16.0,3,1,2,192.2
2817,0,40.0,0,825,19,7.0,3,1,2,77.76
2222,1,33.0,0,1200,50,17.0,3,1,2,122.0
1523,0,34.0,9,10730,97,55.0,4,1,1,308.175
130,0,31.0,0,6725,94,20.0,4,1,1,192.975
606,0,37.0,0,2245,33,14.0,3,1,1,1103.12
813,0,43.0,2,3095,33,9.0,4,1,1,1305.7
775,0,29.0,0,2840,16,13.0,3,1,1,114.24
1293,0,19.0,0,2840,53,17.0,3,1,1,115.72
886,0,36.0,0,2375,55,20.0,3,1,2,281.2
462,0,38.0,5,14127,198,47.0,3,1,1,939.0
1850,0,41.0,0,4065,71,16.0,3,1,1,189.44
1736,0,33.0,0,1550,39,21.0,3,1,2,223.56
508,0,38.0,0,13173,159,29.0,3,1,1,533.28
1382,1,28.0,0,0,0,0.0,4,1,1,0.0
906,0,37.0,0,1650,28,18.0,3,1,1,1107.12
306,0,32.0,0,2100,29,12.0,3,1,1,1165.16
596,0,16.0,1,9048,177,44.0,5,1,1,295.875
1798,0,15.5,0,3895,33,5.0,3,1,1,953.12
1214,0,39.0,0,14127,178,32.0,2,1,1,1383.21
2644,0,20.0,1,1400,22,2.0,2,1,1,126.99
2134,0,36.0,4,7270,122,35.0,3,2,1,1407.68
1642,0,24.0,0,1035,32,15.0,2,1,1,246.015
1198,0,15.5,0,4025,31,6.0,3,1,1,974.24
2398,0,17.0,3,4955,56,18.0,3,1,1,1148.44
2668,0,40.0,0,420,12,6.0,3,1,2,173.28
225,0,30.0,0,2760,20,10.0,3,1,1,111.2
1748,0,15.5,0,4275,35,11.0,3,1,1,1040.4
1138,1,27.0,1,1070,33,11.0,2,2,1,909.135
2121,0,39.0,2,7023,81,39.0,2,1,1,837.18
2185,0,40.0,2,4083,91,32.0,3,1,1,222.96
1266,0,31.0,0,490,6,5.0,2,1,2,22.32
829,0,41.0,1,1668,31,7.0,4,1,1,62.475
2335,0,34.0,1,3943,86,26.0,3,1,1,189.16
1611,0,37.0,0,2048,54,19.0,3,1,2,216.08
2536,0,34.0,0,1790,42,17.0,3,1,2,209.28
714,0,37.0,0,14127,181,27.0,2,1,1,1330.92
2501,0,38.0,0,305,6,2.0,3,1,2,40.44
2401,0,35.0,0,305,6,2.0,2,1,2,45.495
810,0,43.0,1,5918,101,13.0,3,1,1,300.76
2408,0,34.0,1,13818,165,40.0,3,1,1,587.32
650,0,38.0,0,4560,72,20.0,3,1,1,241.28
1906,0,37.0,0,2765,44,16.0,3,1,1,1256.36
424,1,33.0,1,5638,90,19.0,2,1,1,325.26
2884,0,31.0,3,7270,116,34.0,2,2,1,1547.37
1067,0,36.0,0,405,8,6.0,2,1,2,45.585
316,0,31.0,0,615,4,5.0,2,1,2,27.855
2958,0,41.0,2,14127,186,46.0,3,1,1,658.96
1848,0,15.5,0,4085,28,7.0,2,1,1,1085.085
1429,0,37.0,0,1543,27,9.0,3,1,1,78.8
1259,0,32.0,0,4130,75,19.0,3,1,1,168.2
1458,0,33.0,0,13288,155,37.0,3,1,1,537.72
2263,0,44.0,3,3480,35,14.0,4,1,1,1337.875
2693,0,28.0,2,3645,73,29.0,4,1,1,210.45
2677,1,39.0,0,2688,56,37.0,4,1,2,251.1
1437,0,37.0,0,2655,55,26.0,2,1,1,927.45
2471,0,42.0,2,7203,89,44.0,2,1,1,895.14
120,0,35.0,0,11405,151,45.0,3,1,1,486.24
439,0,23.0,0,1388,31,63.0,4,1,1,82.975
2776,1,37.0,0,3485,48,21.0,3,1,2,241.32
2286,1,41.0,0,2050,52,26.0,4,1,2,190.05
1209,0,40.0,1,4290,79,27.0,3,1,1,194.76
751,0,34.0,0,318,4,3.0,2,1,2,14.49
2436,0,31.0,0,1710,40,16.0,3,1,2,190.0
2389,0,34.0,2,2133,55,68.5,5,1,1,110.82
300,0,32.0,0,4110,61,11.0,2,1,1,187.695
224,1,32.0,0,5738,96,20.0,2,1,1,334.53
141,1,24.0,0,765,7,1.0,4,1,2,59.3
1346,0,19.0,0,8888,175,44.0,4,1,1,429.075
2418,0,33.0,0,305,6,2.0,2,1,2,45.495
2664,0,40.0,2,14127,194,36.0,3,1,1,1399.96
991,0,26.0,0,825,10,3.0,4,1,2,73.375
1059,0,36.0,0,4210,77,23.0,3,1,1,171.48
2832,0,38.0,2,453,9,1.0,5,1,1,9.93
2906,0,45.0,2,2665,51,21.0,4,1,1,817.9
692,0,25.0,0,1415,33,16.0,2,1,1,191.16
40,0,27.0,0,700,25,7.0,2,1,2,77.625
2999,1,15.5,3,2502,36,9.0,3,1,1,161.52
1339,0,30.0,0,1523,43,68.5,4,1,1,134.15
2762,1,40.0,4,14127,198,37.0,3,1,1,914.68
1789,0,24.0,0,1073,32,63.0,4,1,1,62.625
2869,0,34.0,0,7813,127,44.0,2,1,1,1815.735625
878,0,37.0,0,843,13,2.0,3,1,2,66.24
1971,0,34.0,0,5703,58,35.0,2,1,1,601.245
778,1,31.0,0,0,0,0.0,2,1,2,0.0
1762,0,36.0,2,14127,198,27.0,3,1,1,746.52
366,0,40.0,0,1055,22,16.0,2,1,2,97.965
1547,0,15.5,4,3148,49,32.0,3,1,1,307.88
1892,0,28.0,0,920,32,12.0,2,1,1,132.84
2506,0,37.0,1,2485,37,15.0,3,1,1,1224.88
304,0,32.0,0,2133,48,27.0,1,1,1,119.955
2810,0,40.0,1,6033,100,11.0,3,1,1,265.32
1403,0,39.0,0,4073,68,38.0,1,1,1,255.255
2318,0,35.0,0,305,6,2.0,2,1,2,45.495
2710,0,39.0,0,6108,95,10.0,2,1,1,310.635
1408,0,39.0,0,13648,171,47.0,3,1,1,568.76
133,0,29.0,2,14127,198,68.5,2,1,1,731.25
2635,0,38.0,0,3423,78,15.0,3,1,1,168.04
1492,0,20.0,0,740,18,6.0,2,1,1,38.61
1546,0,15.5,1,9228,175,53.0,4,1,1,452.575
928,0,35.0,0,0,0,0.0,3,1,2,0.0
2520,0,36.0,2,11590,152,44.0,4,1,1,311.05
2818,0,39.0,0,0,0,0.0,2,1,2,0.0
2449,1,15.5,0,1533,15,3.0,3,1,1,89.92
2198,0,15.5,3,4755,49,14.0,3,1,1,1100.16
2888,0,24.0,1,1620,36,12.0,2,2,1,938.52
2820,0,39.0,2,11580,159,46.0,4,1,1,315.975
2790,0,29.0,0,1195,32,12.0,3,1,2,153.08
1632,0,35.0,1,148,4,4.0,5,1,1,45.78
2860,0,35.0,0,6223,95,13.0,2,1,1,311.31
2503,0,37.0,1,4323,64,32.0,1,1,1,279.785
94,0,20.0,1,1755,29,16.0,2,1,1,228.78
78,0,38.0,1,193,5,4.0,3,1,1,27.92
2622,0,35.0,0,660,43,4.0,3,1,2,56.12
2595,0,19.0,4,7298,157,59.0,2,2,1,843.975
2566,0,39.0,0,1780,30,28.0,2,1,2,207.45
523,0,36.0,6,9835,83,27.0,4,1,1,247.95
2132,0,38.0,2,643,10,4.0,5,1,1,26.295
2801,0,41.0,0,433,10,3.0,3,1,2,37.72
1687,0,33.0,0,2360,41,17.0,2,1,1,720.045
18,0,37.0,0,0,0,0.0,2,1,2,0.0
349,1,15.5,0,1228,9,1.0,2,1,1,55.665
266,0,43.0,0,1135,24,17.0,2,1,2,119.655
1878,0,39.0,0,0,0,0.0,3,1,2,4.0
887,0,37.0,1,3490,64,23.0,2,1,1,983.43
16,0,37.0,0,875,14,11.0,2,1,2,40.005
2938,0,34.0,3,1620,48,14.0,3,2,1,898.72
1383,0,23.0,1,14127,198,68.5,2,1,1,707.94
1937,0,35.0,0,3185,58,21.0,2,1,1,937.935
1944,0,17.0,0,2100,31,12.0,2,1,1,226.395
2800,0,40.0,1,4485,76,16.0,3,1,1,194.44
504,0,38.0,0,1793,48,18.0,1,1,1,101.255
2941,0,33.0,0,1130,22,6.0,4,1,2,118.8
180,0,37.0,2,6865,99,26.0,5,1,1,140.46
505,0,38.0,0,3175,72,13.0,3,1,1,173.88
730,0,33.0,1,6595,96,19.0,5,1,1,107.865
331,1,30.0,0,0,0,0.0,4,1,2,0.0
174,0,40.0,2,5898,100,28.0,2,1,1,431.91
1298,0,15.5,0,4005,32,4.0,3,1,1,953.48
2909,0,45.0,3,4820,95,28.0,4,1,1,165.375
871,0,38.0,2,7428,86,37.0,2,1,1,860.13
490,0,27.0,0,1300,35,22.0,3,1,2,177.4
1195,0,15.5,0,6028,132,38.0,1,2,1,740.3
2637,0,38.0,0,2485,49,10.0,2,1,1,838.53
861,0,39.0,0,2948,65,17.0,3,1,2,184.52
1746,0,15.5,0,8817,166,41.0,4,1,1,412.075
2316,0,35.0,0,1100,18,9.0,2,1,2,81.81
1091,0,24.0,0,520,4,1.0,4,1,2,48.1
2749,0,15.5,1,1678,19,5.0,3,1,1,95.88
1164,0,33.0,0,14127,173,26.0,2,1,1,1309.185
2838,0,29.0,2,1430,41,10.0,3,2,1,822.84
531,0,36.0,0,0,0,0.0,4,1,2,0.0
2837,0,38.0,1,2895,58,22.0,2,1,1,911.385
1448,0,15.5,0,4265,42,13.0,3,1,1,1048.28
261,1,44.0,0,2498,64,23.0,3,1,2,194.48
1627,0,35.0,0,2078,44,33.0,3,1,2,320.88
258,0,44.0,1,14033,179,50.0,3,1,1,628.48
2168,0,41.0,2,365,9,4.0,3,1,1,62.96
159,0,42.0,2,4595,85,29.0,3,1,1,235.2
2742,0,26.0,0,1415,32,11.0,2,1,1,96.615
1996,0,15.5,0,7917,154,38.0,4,1,1,304.275
974,0,36.0,1,5818,98,24.0,2,1,1,383.22
1159,0,34.0,0,4150,74,21.0,3,1,1,168.96
200,0,34.0,0,4290,69,13.0,2,1,1,196.155
235,0,32.0,0,3638,80,24.0,2,1,1,167.31
2227,1,36.0,0,2513,47,31.0,3,1,2,246.4
2722,1,34.0,0,1145,47,15.0,2,1,2,85.14
461,0,38.0,0,2838,64,32.0,3,1,2,232.08
1730,0,31.0,0,6670,92,23.0,4,1,1,209.05
87,0,38.0,1,2840,56,25.0,2,1,1,940.32
1505,0,36.0,2,4070,86,41.0,3,1,1,350.24
1375,0,26.0,0,2275,6,6.0,3,1,1,91.24
2752,0,39.0,1,2948,67,29.0,3,1,1,1620.6
1221,0,39.0,1,6493,71,39.0,2,1,1,794.88
252,0,43.0,1,2713,70,30.0,3,1,1,1607.32
299,1,15.5,2,1748,29,13.0,3,1,1,131.08
291,0,32.0,0,1085,20,9.0,4,1,2,117.625
983,0,31.0,3,14127,198,68.5,2,1,1,734.085
817,0,43.0,0,710,20,9.0,3,1,2,113.2
1918,0,36.0,0,0,0,0.0,2,1,2,4.5
2169,0,41.0,2,7873,136,47.0,3,1,1,1815.735625
1942,0,24.0,0,1630,37,11.0,2,1,1,165.015
1884,0,37.0,3,6660,116,32.0,2,2,1,1528.92
1929,0,35.0,0,2073,30,4.0,3,1,1,88.12
2102,0,39.0,1,2758,66,26.0,3,1,1,1576.96
250,0,44.0,1,4630,81,23.0,3,1,1,268.44
1809,0,31.0,0,4210,71,22.0,3,1,1,171.24
1478,0,31.0,0,0,0,0.0,3,1,2,0.0
1927,1,35.0,0,2673,49,29.0,3,1,2,248.88
1098,0,15.5,0,4085,34,8.0,3,1,1,996.76
1263,0,32.0,0,2710,19,2.0,3,1,1,1815.735625
1805,0,31.0,0,3470,70,25.0,2,1,1,235.8
2495,0,22.0,2,6878,155,49.0,2,2,1,779.985
1840,0,20.0,0,395,13,4.0,2,1,2,18.36
1709,0,36.0,0,4400,78,26.0,3,1,1,195.12
2119,0,39.0,1,7813,133,45.0,3,1,1,1815.735625
844,0,23.0,1,1695,32,15.0,3,1,1,213.08
651,0,39.0,0,508,6,7.0,2,1,2,95.13
251,0,45.0,0,578,15,10.0,3,1,2,111.72
65,0,39.0,2,6560,89,28.0,3,1,1,1029.96
1712,0,36.0,2,14127,198,33.0,3,1,1,833.8
1741,0,24.0,0,710,5,4.0,4,1,2,75.375
1994,0,15.5,0,680,9,12.0,2,1,1,31.005
2887,0,33.0,0,3085,53,24.0,2,1,1,924.21
1974,1,33.0,0,4803,81,22.0,2,1,1,219.78
1060,0,36.0,0,5613,89,10.0,2,1,1,256.59
605,0,37.0,0,3660,76,24.0,2,1,1,168.12
1747,0,15.5,2,2737,40,20.0,3,1,1,243.08
183,0,35.0,4,14127,198,68.5,2,1,1,782.775
66,0,39.0,1,935,17,13.0,2,1,1,65.34
816,0,42.0,0,875,20,12.0,2,1,2,76.275
2273,0,42.0,10,10820,101,48.0,5,1,1,190.815
1667,0,35.0,0,290,2,2.0,2,1,2,13.14
1792,0,23.0,0,730,25,8.0,2,1,1,47.475
2466,0,42.0,0,1360,28,18.0,2,1,2,143.46
767,0,33.0,0,710,8,7.0,2,1,2,54.81
1890,0,30.0,0,395,25,6.0,3,1,2,60.8
2655,0,41.0,3,4195,94,34.0,3,1,1,455.56
2798,0,15.5,2,4885,47,15.0,3,1,1,1121.28
2620,0,39.0,0,11170,150,34.0,4,1,1,300.5
15,0,37.0,1,6500,86,26.0,3,1,1,1007.44
1821,0,30.0,0,6413,63,34.0,2,1,1,709.92
2285,0,42.0,2,4103,90,34.0,3,1,1,243.72
2416,0,33.0,0,920,10,7.0,2,1,2,73.35
2928,0,43.0,0,438,14,5.0,3,1,2,78.08
2512,0,37.0,4,14127,198,29.0,3,2,1,819.52
1193,0,21.0,0,2860,52,19.0,3,1,1,116.48
247,0,15.5,2,2773,43,15.0,3,1,1,196.64
1146,0,15.5,0,8688,168,40.0,4,1,1,398.9
731,0,36.0,0,438,6,1.0,4,1,2,11.1
98,0,15.5,2,4450,43,12.0,3,1,1,1059.72
2145,0,19.0,2,6698,147,44.0,2,2,1,722.025
39,0,26.0,0,1568,39,68.0,4,1,1,115.175
449,0,15.5,1,1308,11,2.0,3,1,1,52.76
23,1,36.0,8,10435,93,42.0,5,2,1,159.42
256,0,44.0,1,2620,49,24.0,3,1,1,1306.76
1169,0,33.0,0,7143,118,39.0,2,1,1,1815.735625
784,0,29.0,2,6965,110,32.0,2,2,1,1501.875
2429,0,32.0,1,305,6,2.0,3,1,1,40.44
2249,1,15.5,1,1733,22,7.0,3,1,1,98.2
249,0,15.5,0,1408,17,3.0,3,1,1,57.0
2382,0,44.0,3,903,20,10.0,5,1,1,52.845
2516,0,36.0,0,1000,12,8.0,2,1,2,77.04
356,0,41.0,0,2540,47,23.0,3,1,1,1287.48
1898,0,15.5,1,4085,40,9.0,3,1,1,1029.0
2162,0,42.0,5,14127,198,36.0,3,2,1,893.56
2137,0,38.0,1,3085,59,25.0,2,1,1,960.48
254,0,44.0,1,2653,68,39.0,2,1,1,198.945
1142,0,25.0,0,980,29,13.0,2,1,1,121.905
2297,0,22.0,5,3238,53,25.0,3,2,1,323.64
2585,0,38.0,3,4623,98,45.0,3,1,1,308.84
3041,0,27.0,0,420,5,5.0,4,1,2,18.125
1779,0,34.0,0,1173,18,1.0,3,1,1,47.64
1396,0,15.5,0,8368,155,32.0,4,1,1,340.575
1624,1,35.0,1,5628,98,26.0,2,1,1,487.17
2833,0,33.0,4,14127,198,68.5,2,2,1,739.485
335,0,30.0,0,3458,72,22.0,2,1,1,158.85
321,0,31.0,0,6458,65,31.0,2,1,1,712.035
2470,0,42.0,2,11950,168,54.0,4,1,1,375.45
2193,0,29.0,2,3590,70,27.0,3,1,1,226.4
2457,0,42.0,3,9600,135,50.0,3,1,1,1037.4
896,0,16.0,1,9642,182,40.0,5,1,1,268.86
851,0,40.0,0,1028,16,4.0,3,1,2,101.76
2179,0,40.0,2,2033,34,10.0,4,1,1,81.675
2865,0,34.0,1,6805,86,27.0,3,1,1,1015.64
2590,0,29.0,0,1605,41,24.0,3,1,2,217.84
1156,0,34.0,0,1995,30,14.0,3,1,1,1173.0
2594,0,20.0,3,2600,42,31.0,3,1,1,329.68
630,0,32.0,0,6670,91,18.0,4,1,1,169.025
378,1,39.0,0,313,10,7.0,3,1,2,56.92
330,0,27.0,0,6525,87,16.0,4,1,1,165.3
2447,0,15.5,3,2898,41,15.0,3,1,1,209.56
2688,0,30.0,3,1735,48,17.0,3,2,1,999.32
1223,0,38.0,8,10210,89,44.0,4,2,1,267.475
55,0,40.0,2,3835,85,30.0,3,2,1,304.8
2619,0,39.0,0,7213,123,30.0,3,1,1,1773.44
2894,0,15.5,0,2000,26,15.0,2,1,1,212.67
315,0,31.0,0,6240,76,20.0,3,1,1,936.64
2430,0,29.0,1,6830,93,18.0,5,1,1,114.345
100,0,36.0,0,4310,68,15.0,2,1,1,197.01
2322,1,31.0,0,1180,51,15.0,3,1,2,101.24
2769,0,39.0,1,8003,134,48.0,3,1,1,1815.735625
2755,0,40.0,2,4270,89,33.0,3,1,1,366.36
2439,0,22.0,1,1613,35,64.0,4,1,1,96.2
2815,0,39.0,2,6615,91,25.0,3,1,1,1004.24
1983,0,28.0,1,14127,198,68.5,2,1,1,687.645
161,0,42.0,0,2318,56,21.0,3,1,2,166.96
57,0,39.0,3,9175,124,45.0,3,1,1,967.96
2230,0,33.0,1,7030,100,22.0,5,1,1,130.95
863,0,39.0,2,3805,38,8.0,3,1,1,1815.735625
1344,0,22.0,0,1650,30,18.0,2,1,1,237.6
1781,0,34.0,0,0,0,0.0,4,1,2,0.0
1231,1,38.0,0,403,3,6.0,4,1,2,40.15
936,0,34.0,0,955,33,20.0,3,1,2,91.52
1813,0,31.0,0,2790,15,5.0,3,1,1,1815.735625
2272,1,39.0,0,1340,55,23.0,3,1,2,187.8
1362,0,30.0,1,14127,198,24.0,2,1,1,809.28
888,0,28.0,2,2025,47,11.0,3,2,1,886.88
438,0,24.0,1,1135,28,6.0,2,2,1,871.335
2746,0,16.0,0,9123,171,38.0,4,1,1,352.35
102,0,35.0,0,2393,57,22.0,2,1,1,1703.25
2689,0,29.0,2,1988,51,68.5,5,1,1,134.085
2919,0,44.0,2,7813,139,46.0,3,1,1,1815.735625
323,0,30.0,7,10175,83,36.0,4,1,1,256.45
2502,0,36.0,1,2578,58,21.0,3,1,1,1525.44
272,1,39.0,0,1215,57,23.0,3,1,2,174.88
2793,0,27.0,1,3720,68,28.0,3,1,1,247.52
167,0,42.0,0,790,16,12.0,3,1,2,124.24
860,0,39.0,1,6628,106,12.0,3,1,1,329.36
434,0,31.0,3,6785,108,28.0,2,2,1,1480.185
1212,0,40.0,3,14127,198,34.0,3,1,1,833.44
2358,0,46.0,2,14127,185,52.0,3,1,1,668.92
280,0,39.0,2,7045,107,28.0,5,1,1,150.78
581,0,37.0,0,743,13,8.0,4,1,2,121.4
2771,0,39.0,2,7213,82,42.0,2,1,1,886.275
400,0,35.0,0,4190,63,12.0,3,1,1,170.12
588,0,28.0,2,1430,42,15.0,3,2,1,958.88
2049,0,15.5,0,1182,13,5.0,2,1,1,53.775
2293,0,31.0,2,3610,69,29.0,3,1,1,247.16
1248,0,15.5,1,4165,36,12.0,3,1,1,1040.04
89,0,28.0,1,1628,42,68.5,4,1,1,129.25
497,0,16.0,5,3453,55,34.0,3,1,1,348.32
2813,0,40.0,2,3210,32,7.0,3,1,1,1815.735625
759,0,33.0,0,4515,77,24.0,3,1,1,183.68
583,0,32.0,4,14127,198,68.5,2,2,1,883.53
277,1,42.0,0,2528,54,37.0,4,1,2,187.05
1260,0,32.0,0,5533,87,6.0,2,1,1,252.9
1661,0,35.0,0,1818,42,11.0,3,1,2,74.4
1880,0,36.0,1,6480,97,21.0,5,1,1,121.155
1811,0,31.0,0,1933,42,14.0,3,1,2,79.0
842,0,30.0,1,1225,38,14.0,2,1,1,178.335
361,0,41.0,0,2418,62,22.0,3,1,2,175.2
2510,0,37.0,1,6043,93,9.0,3,1,1,273.44
2604,0,40.0,0,2098,54,20.0,2,1,1,128.34
2289,0,32.0,2,1953,47,68.5,5,1,1,100.5
1211,0,40.0,0,2013,50,19.0,3,1,2,126.52
1329,0,40.0,0,1623,29,10.0,3,1,1,98.08
268,0,43.0,0,260,10,6.0,2,1,2,79.65
388,1,30.0,1,1495,44,16.0,2,2,1,987.255
1654,0,35.0,0,1973,46,27.0,1,1,1,111.045
1595,0,15.5,0,5488,125,25.0,1,2,1,622.215
2532,0,35.0,1,305,6,2.0,5,1,1,15.165
287,0,42.0,1,3040,63,29.0,2,1,1,994.635
2149,1,15.5,2,1793,25,9.0,3,1,1,100.72
217,0,34.0,0,630,12,4.0,2,1,2,42.39
598,0,15.5,2,4505,46,14.0,3,1,1,1170.04
1908,0,37.0,0,14127,174,42.0,3,1,1,578.08
1612,0,37.0,3,14127,198,34.0,3,1,1,923.0
1607,0,36.0,2,8925,121,45.0,3,1,1,1037.84
1402,0,38.0,0,2328,62,27.0,2,1,1,1741.05
2885,0,33.0,0,4023,82,29.0,2,1,1,189.225
3097,0,18.0,4,3157,51,21.0,3,1,1,280.32
391,0,29.0,0,1005,18,8.0,4,1,2,105.575
2427,1,32.0,0,2313,40,27.0,3,1,2,198.12
1786,0,33.0,0,1170,37,15.0,3,1,2,136.28
1988,0,24.0,0,300,19,9.0,2,2,1,738.855
1543,0,23.0,1,3520,65,36.0,3,1,1,231.4
872,1,34.0,0,1665,58,17.0,3,1,2,164.92
1296,0,15.5,0,8548,163,34.0,4,1,1,357.775
3131,1,38.0,0,933,13,6.0,4,1,2,63.65
354,0,41.0,0,2573,66,38.0,1,1,1,216.645
516,0,37.0,0,275,4,1.0,2,1,2,12.555
201,0,35.0,0,0,0,0.0,2,1,2,0.0
2702,0,38.0,0,2643,60,22.0,2,1,1,1624.635
1770,0,35.0,0,10970,147,42.0,3,1,1,444.68
743,0,25.0,0,3035,60,20.0,3,1,1,123.8
2855,0,35.0,1,4080,82,29.0,3,1,1,290.48
2199,1,15.5,3,1853,28,11.0,3,1,1,123.24
664,0,37.0,0,14127,183,33.0,2,1,1,1429.11
1122,1,33.0,0,710,44,17.0,2,1,1,96.93
1395,0,15.5,0,5828,125,34.0,1,2,1,673.915
856,0,39.0,1,3070,50,18.0,3,1,1,1296.8
238,0,23.0,0,1235,34,7.0,2,2,1,880.605
1361,0,30.0,0,1673,38,9.0,3,1,2,68.44
2770,0,39.0,2,11960,161,52.0,4,1,1,370.525
296,0,21.0,1,9193,181,46.0,5,1,1,272.61
